"payment_id","cred_bban","currency","cred_iban","cred_masked_pan","cred_msisdn","cred_pan","cred_bld_nbr","cred_city","cred_ctry","cred_zip","cred_street","creditor_agent","creditor_name","end_to_end_identification","amt","cur","payment_product","remittance_information_unstructured","payment_payment_id"
"Yevcu8OwTAEqAWSFbbYgDw","NULL","EUR","DE38760700240320465700","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Max Musterman","20180601T20180601","3000.00","EUR","INSTANT_SEPA","Payment","7jMw17W4RNIhKS3oQey6fQ"
"dBykyoi-TY0oNyVuslXVDw","NULL","EUR","DE38760700240320465700","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Max Musterman","20180601T131000","700.00","EUR","INSTANT_SEPA","Payment","4MmQZ1vyQEAkjtHRYoSsRQ"
"URXI6t9gRCQjBEZia1cBtg","NULL","EUR","DE84100100100568753108","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Rainer Maier","20180602T101000","900.00","EUR","INSTANT_SEPA","Payment","27R691RkT-YnCUdEyOFy_U"
"gufqtc8QTeYhI2ZgtTuin4","NULL","EUR","DE64370400440136510500","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Miriam Krause","20180602T182300","1400.00","EUR","INSTANT_SEPA","Payment","bbUzzyxtSc8pleoJb9nS1Y"
"jxpokfUDRMIqb6dSRNo1z0","NULL","EUR","DE80760700240271232400","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Anton Brueckner","20180614T110000","2300.00","EUR","INSTANT_SEPA","Payment","z3jraUF4T9AvCJ-fP2qADk"
"8B1H4d2oS_kvFSfXuOIuHM","NULL","EUR","DE69760700240340283600","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Marion Mueller","20180617T181000","1280.00","EUR","INSTANT_SEPA","Payment","3TQOCXywRmYr_bVakzjjuQ"
"PUyXMPhsTTcqVxrGTUU-D8","NULL","EUR","DE67760700240243265400","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Maria Brueckner","20180623TAAA001","150.00","EUR","INSTANT_SEPA","Payment","G6YGnDmrT7EkST56q2YYGo"
"U71cVCdlSscnSMm1MALMqM","NULL","EUR","DE23760700240234367800","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Patrick Brueckner","20180623TAAA002","100.00","EUR","INSTANT_SEPA","Payment","G6YGnDmrT7EkST56q2YYGo"
"4QmkLmqkQk8t2tdQX-qKhM","NULL","EUR","DE69760700240340283600","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Marion Mueller","20180624TAAA001","2300.00","EUR","INSTANT_SEPA","Payment","L_MjfOkEQ2cpl2cH5x7GsE"
"Q5YllAhzRismgr9dKQ5fsk","NULL","EUR","DE67760700240243265400","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Maria Brueckner","20180625TAAA001","150.00","EUR","INSTANT_SEPA","Payment","i4sXV3VvQ6wvmJsaDx0guk"
"9VjfW-nTRIQhVSWCxfTh80","NULL","EUR","DE23760700240234367800","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Patrick Brueckner","20180625TAAA002","100.00","EUR","INSTANT_SEPA","Payment","i4sXV3VvQ6wvmJsaDx0guk"
